Training set: 9664
Testinf set: 1120
Validation set: 544

Epoch 74/100: Train Loss=0.7833, Val DSC_BG=0.9972, Val DSC_DeepGray=0.8703, Val DSC_LightGray=0.8820, Val DSC_White=0.9203
Epoch 75/100: Train Loss=0.7825, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8612, Val DSC_LightGray=0.8815, Val DSC_White=0.9253
Epoch 76/100: Train Loss=0.7825, Val DSC_BG=0.9973, Val DSC_DeepGray=0.8740, Val DSC_LightGray=0.8869, Val DSC_White=0.9265
Epoch 77/100: Train Loss=0.7818, Val DSC_BG=0.9973, Val DSC_DeepGray=0.8740, Val DSC_LightGray=0.8892, Val DSC_White=0.9280
Epoch 78/100: Train Loss=0.7811, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8745, Val DSC_LightGray=0.8903, Val DSC_White=0.9281
Epoch 79/100: Train Loss=0.7811, Val DSC_BG=0.9973, Val DSC_DeepGray=0.8797, Val DSC_LightGray=0.8918, Val DSC_White=0.9274
Epoch 80/100: Train Loss=0.7803, Val DSC_BG=0.9974, Val DSC_DeepGray=0.8807, Val DSC_LightGray=0.8940, Val DSC_White=0.9296
Epoch 81/100: Train Loss=0.7800, Val DSC_BG=0.9972, Val DSC_DeepGray=0.8771, Val DSC_LightGray=0.8959, Val DSC_White=0.9330
Epoch 82/100: Train Loss=0.7800, Val DSC_BG=0.9971, Val DSC_DeepGray=0.8781, Val DSC_LightGray=0.8930, Val DSC_White=0.9334
Epoch 83/100: Train Loss=0.7796, Val DSC_BG=0.9970, Val DSC_DeepGray=0.8798, Val DSC_LightGray=0.8935, Val DSC_White=0.9275
Epoch 84/100: Train Loss=0.7793, Val DSC_BG=0.9973, Val DSC_DeepGray=0.8858, Val DSC_LightGray=0.8998, Val DSC_White=0.9335
Epoch 85/100: Train Loss=0.7786, Val DSC_BG=0.9975, Val DSC_DeepGray=0.8856, Val DSC_LightGray=0.8992, Val DSC_White=0.9368
Epoch 86/100: Train Loss=0.7781, Val DSC_BG=0.9974, Val DSC_DeepGray=0.8900, Val DSC_LightGray=0.9028, Val DSC_White=0.9361
Epoch 87/100: Train Loss=0.7775, Val DSC_BG=0.9972, Val DSC_DeepGray=0.8861, Val DSC_LightGray=0.9040, Val DSC_White=0.9388
Epoch 88/100: Train Loss=0.7778, Val DSC_BG=0.9974, Val DSC_DeepGray=0.8903, Val DSC_LightGray=0.9057, Val DSC_White=0.9382
Epoch 89/100: Train Loss=0.7773, Val DSC_BG=0.9975, Val DSC_DeepGray=0.8917, Val DSC_LightGray=0.9060, Val DSC_White=0.9407
Epoch 90/100: Train Loss=0.7775, Val DSC_BG=0.9958, Val DSC_DeepGray=0.8796, Val DSC_LightGray=0.9040, Val DSC_White=0.9388
Epoch 91/100: Train Loss=0.7771, Val DSC_BG=0.9975, Val DSC_DeepGray=0.8891, Val DSC_LightGray=0.9065, Val DSC_White=0.9417
Epoch 92/100: Train Loss=0.7765, Val DSC_BG=0.9974, Val DSC_DeepGray=0.8960, Val DSC_LightGray=0.9096, Val DSC_White=0.9426
Epoch 93/100: Train Loss=0.7759, Val DSC_BG=0.9975, Val DSC_DeepGray=0.8981, Val DSC_LightGray=0.9106, Val DSC_White=0.9415
Epoch 94/100: Train Loss=0.7757, Val DSC_BG=0.9975, Val DSC_DeepGray=0.8945, Val DSC_LightGray=0.9122, Val DSC_White=0.9441
Epoch 95/100: Train Loss=0.7758, Val DSC_BG=0.9962, Val DSC_DeepGray=0.8751, Val DSC_LightGray=0.9068, Val DSC_White=0.9437
Epoch 96/100: Train Loss=0.7772, Val DSC_BG=0.9960, Val DSC_DeepGray=0.8795, Val DSC_LightGray=0.8895, Val DSC_White=0.9225
Epoch 97/100: Train Loss=0.7773, Val DSC_BG=0.9975, Val DSC_DeepGray=0.8942, Val DSC_LightGray=0.9121, Val DSC_White=0.9456
Epoch 98/100: Train Loss=0.7751, Val DSC_BG=0.9972, Val DSC_DeepGray=0.8907, Val DSC_LightGray=0.9105, Val DSC_White=0.9450
Epoch 99/100: Train Loss=0.7746, Val DSC_BG=0.9976, Val DSC_DeepGray=0.9024, Val DSC_LightGray=0.9167, Val DSC_White=0.9469
Epoch 100/100: Train Loss=0.7741, Val DSC_BG=0.9976, Val DSC_DeepGray=0.9015, Val DSC_LightGray=0.9175, Val DSC_White=0.9479

Testing: 
Avg DSC_BG = 0.9974
Avg DSC_DeepGray = 0.9336
Avg DSC_LightGray = 0.9029
Avg DSC_White = 0.9437
Save to segmentation_results.png
